,s_name_x,en_name_x,lon_x,lat_x,s_name_y,en_name_y,lon_y,lat_y,distance_ft,resistance
6167251,Carya illinoinensis,Pecan,-97.73369196,30.28160677,Morus alba,White mulberry,-97.73355317,30.28163404,44.84143100825284,1
6187482,Carya illinoinensis,Pecan,-97.73357781,30.28195625,Mahonia trifoliolata,Agarita,-97.733644,30.282033000000002,34.911012212766884,1
6187538,Carya illinoinensis,Pecan,-97.73357781,30.28195625,Morus alba,White mulberry,-97.73355567,30.28201254,21.687501260696784,1
6207778,Carya illinoinensis,Pecan,-97.73415024,30.28062704,Morus alba,White mulberry,-97.73417226,30.28055163,28.371697706881,1
6207825,Carya illinoinensis,Pecan,-97.73415024,30.28062704,Morus alba,White mulberry,-97.7342692,30.280628000000004,37.47877375068813,1
6207831,Carya illinoinensis,Pecan,-97.73415024,30.28062704,Morus alba,White mulberry,-97.73409558,30.28060167,19.549722219339433,1
6207832,Carya illinoinensis,Pecan,-97.73415024,30.28062704,Morus alba,White mulberry,-97.73409199,30.28063403,18.527397145015684,1
6207833,Carya illinoinensis,Pecan,-97.73415024,30.28062704,Morus alba,White mulberry,-97.73410777,30.28058096,21.485174084794735,1
6207841,Carya illinoinensis,Pecan,-97.73415024,30.28062704,Morus alba,White mulberry,-97.73417082,30.28069732,26.44609556342506,1
6221380,Carya illinoinensis,Pecan,-97.73415024,30.28062704,Cornus drummondii,Roughleaf dogwood,-97.7342787758,30.280667622600003,43.11547632824573,1
6227723,Carya illinoinensis,Pecan,-97.73415024,30.28062704,Ambrosia trifida,Giant ragweed,-97.7342475952,30.2807084425,42.6917640696888,1
